"Data file recorded 2014/2/3  17:54:20"
"%  Right Stride Frequency         = 5.0"
"%  Left Stride Frequency         = 5.0"
"%  Phase (Fractional)         = 16384.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 20, 100, 0, 0, 1800, 20, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
136069,3020824,3102000,3023158,3105078,1204,1471,1416,-4438,-3058,5166,4399,5297,29,40,863
137071,3021080,3102308,3023485,3105405,1510,1479,1091,-4042,-3070,3731,4637,4013,29,46,861
138072,3021368,3102648,3023812,3105732,1328,1274,768,-3697,-3001,2706,4970,3569,29,46,861
139072,3021648,3102988,3024139,3106059,1398,1268,514,-3434,-2922,1599,4466,3787,43,30,864
140073,3021908,3103248,3024466,3106386,1553,1798,369,-3274,-2877,571,3162,4206,43,30,864
141074,3022180,3103564,3024793,3106713,1502,1453,315,-3320,-2846,290,2218,4327,38,45,864
142075,3022428,3103908,3025120,3107040,1687,1271,261,-3386,-2821,171,1160,5062,38,45,864
143077,3022704,3104288,3025447,3107367,1534,1023,133,-3416,-2817,480,1709,4911,30,35,859
144077,3022916,3104672,3025774,3107694,1984,973,-93,-3621,-2784,402,2911,3168,30,35,859
145079,3023204,3105100,3026101,3108021,1527,653,-317,-3764,-2616,-1487,3060,3034,42,53,861
146080,3023404,3105496,3026428,3108348,2132,823,-472,-4063,-2413,-3534,1933,2304,42,53,861
147081,3023700,3105944,3026755,3108675,1546,445,-377,-4552,-2264,-5337,-118,1543,42,48,860
148081,3023976,3106368,3027082,3109002,1694,552,-33,-5220,-2163,-5951,-1434,1044,42,48,860
149083,3024268,3106780,3027409,3109329,1610,590,498,-5797,-2126,-4424,-2511,2559,31,50,860
150083,3024540,3107180,3027736,3109656,1759,633,1013,-6092,-2013,-3155,-3370,3208,31,50,860
151084,3024804,3107620,3028063,3109983,1837,333,1355,-6131,-1840,-881,-1838,3318,44,54,865
152085,3025112,3107992,3028390,3110310,1570,738,1434,-6101,-1696,245,-19,2931,44,54,865
153086,3025404,3108412,3028717,3110637,1685,397,1330,-6050,-1602,651,1267,2679,36,48,865
154087,3025712,3108816,3029044,3110964,1594,463,1150,-6194,-1563,-790,2521,1925,36,48,865
155088,3026016,3109240,3029371,3111291,1629,296,1022,-6401,-1514,-1920,1443,1800,32,42,866
156089,3026328,3109640,3029698,3111618,1585,414,992,-6709,-1495,-1946,-206,1078,32,42,866
157090,3026632,3110008,3030025,3111945,1646,596,1015,-6961,-1456,-1711,-628,1784,43,57,866
158091,3026928,3110440,3030352,3112272,1709,150,1070,-7032,-1360,-1123,-51,1936,43,57,866
159093,3027260,3110848,3030679,3112599,1482,264,1064,-7003,-1237,28,234,1758,44,50,867
160101,3027580,3111228,3031040,3112960,1575,431,971,-7083,-1130,21,1200,665,44,50,867
161095,3027876,3111592,3031367,3113287,1739,514,823,-7208,-1035,-349,1945,1011,39,40,867
162096,3028224,3112020,3031694,3113614,1404,71,711,-7380,-921,-1423,2138,823,39,40,867
163097,3028572,3112440,3032021,3113941,1395,80,642,-7619,-809,-2278,1410,432,31,40,867
164098,3028876,3112800,3032348,3114268,1681,441,659,-7787,-790,-1320,284,843,31,40,867
165099,3029204,3113136,3032675,3114595,1531,587,753,-7787,-808,638,-140,1071,48,44,870
166100,3029568,3113528,3033002,3114922,1290,208,832,-7272,-841,2914,-952,4185,48,44,870
167101,3029936,3113876,3033329,3115249,1247,474,921,-6393,-796,3143,-1853,5483,39,51,867
168102,3030328,3114208,3033656,3115576,1068,572,1042,-5676,-674,3167,-1687,3373,39,51,867
169103,3030712,3114560,3033983,3115903,1093,436,1132,-5116,-622,5234,-987,4811,43,39,869
170104,3031156,3114904,3034310,3116230,667,478,1193,-4718,-654,3601,-328,4661,43,39,869
171105,3031516,3115200,3034637,3116557,1177,792,1241,-4516,-551,1719,-815,3876,53,44,871
172106,3031904,3115508,3034964,3116884,975,725,1300,-4261,-405,2323,-1135,5022,53,44,871
173106,3032284,3115800,3035291,3117211,1002,841,1379,-4139,-358,2863,-709,3718,49,42,873
174108,3032652,3116044,3035618,3117538,1059,1177,1450,-3936,-364,3755,-1436,3637,49,42,873
175108,3033068,3116268,3035945,3117865,720,1347,1416,-3232,-321,6101,-871,5554,41,32,870
176110,3033452,3116488,3036272,3118192,895,1419,1391,-2282,-255,8369,-166,5442,41,32,870
177111,3033864,3116692,3036599,3118519,682,1573,1403,-1056,-163,8072,-923,6733,44,36,867
178112,3034288,3116884,3036926,3118846,565,1708,1455,19,-103,7703,-1468,6407,44,36,867
179113,3034692,3117112,3037253,3119173,656,1526,1524,733,-123,5852,-1321,5780,44,35,866
180114,3035112,3117344,3037580,3119500,515,1543,1530,1296,-115,3751,-819,5915,44,35,866
181115,3035512,3117540,3037907,3119827,609,1826,1522,1778,-42,3935,-236,6129,56,21,865
182116,3035916,3117764,3038234,3120154,550,1696,1408,2188,78,3658,57,5611,56,21,865
183116,3036316,3117952,3038561,3120481,543,1982,1210,2565,182,3771,208,5822,46,20,867
184117,3036736,3118188,3038888,3120808,377,1722,1000,2842,280,3927,773,4675,46,20,867
185119,3037144,3118416,3039215,3121135,417,1815,778,3082,342,3912,1298,4352,48,33,865
186120,3037556,3118652,3039542,3121462,354,1805,529,3397,445,3114,955,3783,48,33,865
187121,3037944,3118884,3039869,3121789,477,1872,383,3747,600,2507,573,4604,52,38,866
188122,3038348,3119168,3040196,3122116,344,1566,301,3970,824,666,679,4457,52,38,866
189122,3038772,3119452,3040523,3122443,176,1585,219,4051,891,-462,1362,3812,55,30,865
190124,3039216,3119696,3040850,3122770,0,1872,143,3835,934,-2448,588,4712,55,30,865
191124,3039636,3119992,3041177,3123097,109,1561,80,3517,1058,-3460,164,4211,46,31,865
192126,3040012,3120296,3041504,3123424,362,1521,18,3325,1095,-1571,450,4954,46,31,865
193127,3040384,3120608,3041831,3123751,367,1478,-75,3150,1114,38,497,5141,51,46,867
194128,3040804,3120924,3042158,3124078,27,1458,-195,3165,1163,194,1042,4694,51,46,867
195129,3041180,3121220,3042485,3124405,280,1596,-340,3361,1161,1706,1525,5517,50,30,868
196130,3041560,3121528,3042812,3124732,232,1530,-411,3580,1213,1847,1350,5564,50,30,868
197131,3042000,3121832,3043139,3125059,-193,1565,-464,3749,1281,1345,458,5103,43,31,870
198132,3042400,3122136,3043466,3125386,25,1575,-529,3830,1325,1561,407,5290,43,31,870
199133,3042772,3122468,3043793,3125713,180,1398,-551,3930,1363,852,666,5188,48,37,868
200134,3043164,3122728,3044120,3126040,27,1877,-486,4023,1473,385,200,5019,48,37,868
201135,3043500,3123024,3044447,3126367,373,1666,-446,4010,1472,180,337,5565,43,38,869
202136,3043900,3123316,3044774,3126694,-59,1706,-452,3787,1427,1055,399,3780,43,38,869
203137,3044244,3123612,3045101,3127021,283,1695,-537,3645,1270,2178,1496,4454,55,44,866
204138,3044616,3123904,3045428,3127348,88,1735,-617,3483,1084,718,1041,5737,55,44,866
205139,3044972,3124220,3045755,3127675,176,1590,-737,3363,1052,-1177,508,5815,45,46,867
206140,3045232,3124536,3046082,3128002,805,1596,-942,3372,974,-1035,1511,6619,45,46,867
207140,3045540,3124852,3046409,3128329,513,1600,-1054,3166,883,-2421,1645,5450,48,38,867
208142,3045872,3125172,3046736,3128656,361,1579,-1067,3032,800,-3142,146,7453,48,38,867
209143,3046220,3125468,3047063,3128983,252,1742,-990,2809,775,-1943,-169,5940,33,42,865
210153,3046512,3125756,3047424,3129344,632,1824,-909,2557,763,-661,-252,5874,33,42,865
211145,3046812,3126024,3047751,3129671,594,1975,-858,2283,711,235,-370,5872,38,33,867
212146,3047084,3126352,3048078,3129998,793,1600,-781,1954,608,938,68,5556,38,33,867
213147,3047376,3126664,3048405,3130325,684,1706,-672,1545,357,197,-7,5860,33,30,863
214148,3047596,3126944,3048732,3130652,1181,1927,-523,1034,103,-1835,-1171,5451,33,30,863
215149,3047840,3127260,3049059,3130979,1067,1707,-373,497,-56,-2476,-1683,5999,30,38,865
216149,3048060,3127536,3049386,3131306,1264,1979,-209,56,-244,-2591,-791,6751,30,38,865
217150,3048256,3127868,3049713,3131633,1472,1627,-24,-288,-366,-2900,-615,6374,32,39,860
218151,3048468,3128168,3050040,3131960,1422,1839,198,-476,-505,-2185,-520,6764,32,39,860
219152,3048624,3128468,3050367,3132287,1848,1851,417,-558,-641,-1165,-1700,6626,35,45,859
220153,3048796,3128760,3050694,3132614,1817,1917,633,-605,-775,-152,-1672,6552,35,45,859
221154,3048996,3129060,3051021,3132941,1697,1879,904,-677,-1006,1086,-1180,6604,20,30,858
222155,3049196,3129380,3051348,3133268,1753,1757,1181,-769,-1295,1491,-1104,6412,20,30,858
223156,3049388,3129704,3051675,3133595,1863,1733,1427,-830,-1532,774,-1680,6122,35,37,854
224157,3049584,3130004,3052002,3133922,1895,1895,1636,-930,-1670,315,-1872,5372,33,33,856
225159,3049784,3130304,3052329,3134249,1926,1907,1835,-1108,-1733,-110,-1118,5018,33,33,856
226160,3049992,3130644,3052656,3134576,1928,1651,2044,-1286,-1844,-1038,-530,5294,31,35,854
227161,3050204,3130964,3052983,3134903,1954,1780,2246,-1515,-1972,-1533,-401,4314,31,35,854
228161,3050392,3131296,3053310,3135230,2165,1702,2362,-1696,-2037,-2081,-1382,4231,24,46,855
229163,3050604,3131668,3053637,3135557,2065,1433,2389,-1915,-2081,-2157,-1089,2998,24,46,855
230164,3050840,3132052,3053964,3135884,1955,1332,2411,-2197,-2128,-1349,-122,2615,23,42,853
231165,3051088,3132424,3054291,3136211,1915,1388,2428,-2413,-2233,-443,86,2742,23,42,853
232165,3051308,3132804,3054618,3136538,2137,1314,2415,-2617,-2300,17,-411,1791,26,48,858
233167,3051548,3133200,3054945,3136865,2050,1184,2400,-2847,-2317,169,-233,1580,26,48,858
